N,P,K,temperature,humidity,ph,rainfall,label
90,49,48,30.79,88.84,6.72,135.7,black pepper
51,32,45,33.37,63.26,5.72,126.43,black pepper
85,55,54,21.59,74.9,6.35,128.72,black pepper
51,33,53,31.89,81.6,5.75,185.81,black pepper
62,47,39,21.01,89.59,6.07,178.35,black pepper
81,55,41,33.78,65.48,6.91,187.39,black pepper
62,41,41,33.6,89.99,6.15,152.54,black pepper
82,43,40,29.98,89.36,6.97,184.18,black pepper
60,47,40,25.34,81.18,6.84,171.81,black pepper
98,37,58,22.61,77.7,6.91,163.51,black pepper
79,46,33,20.49,67.08,6.72,94.83,black pepper
73,57,56,34.19,85.47,5.6,166.62,black pepper
29,30,25,26.47,50.72,7.48,69.26,blackgram
30,34,25,20.46,49.51,6.0,81.27,blackgram
48,39,32,33.98,55.64,7.97,96.63,blackgram
31,50,42,32.58,41.19,6.37,39.43,blackgram
44,27,36,32.6,51.41,6.1,69.76,blackgram
60,26,46,30.02,49.97,7.04,65.91,blackgram
35,22,30,24.66,67.3,7.37,54.06,blackgram
41,43,40,29.88,55.73,6.82,78.11,blackgram
26,23,32,27.37,43.92,6.61,92.12,blackgram
33,28,48,26.56,45.09,6.24,93.02,blackgram
52,41,31,21.21,51.02,6.71,72.13,blackgram
39,27,27,28.31,68.44,6.59,76.11,blackgram
50,45,31,26.84,67.98,7.69,58.4,blackgram
59,30,40,25.45,51.53,7.7,57.43,blackgram
35,29,35,26.84,46.68,6.08,91.03,blackgram
30,30,45,26.32,62.77,6.41,69.42,blackgram
48,37,44,22.48,69.47,7.95,61.17,blackgram
35,23,24,28.42,50.02,7.37,31.34,blackgram
53,28,21,22.1,67.72,6.9,39.32,blackgram
25,21,23,27.28,42.25,7.7,89.19,blackgram
41,28,42,31.42,48.1,7.16,53.06,blackgram
35,23,43,28.14,67.63,6.69,55.22,blackgram
35,23,35,25.57,65.9,6.85,84.6,blackgram
30,48,36,21.75,62.38,7.14,78.9,blackgram
44,37,31,34.01,57.85,6.11,60.78,blackgram
24,38,24,26.89,57.95,6.11,64.42,blackgram
48,35,48,23.99,48.94,7.16,87.96,blackgram
48,33,25,31.58,69.58,6.77,43.17,blackgram
23,40,31,21.82,69.08,6.5,69.07,blackgram
36,47,27,27.31,64.11,6.94,43.76,blackgram
48,39,41,30.9,61.48,6.02,67.98,blackgram
20,39,48,27.16,48.47,6.57,64.25,blackgram
29,41,26,26.2,46.95,6.94,61.17,blackgram
44,24,21,34.34,49.85,7.47,80.51,blackgram
36,25,44,24.84,69.0,7.36,56.09,blackgram
23,46,30,24.06,41.87,7.74,84.32,blackgram
56,28,25,25.18,60.29,6.89,38.06,blackgram
34,48,20,25.47,55.01,7.42,97.67,blackgram
35,41,32,24.49,44.91,6.05,91.85,blackgram
33,39,25,28.8,62.83,6.52,56.83,blackgram
24,33,48,34.06,42.75,7.5,85.14,blackgram
26,32,23,33.96,47.58,6.02,32.95,blackgram
42,30,37,33.39,55.67,7.7,79.88,blackgram
48,38,33,34.17,48.37,7.65,87.11,blackgram
46,22,48,23.7,49.56,6.51,87.75,blackgram
36,41,21,20.52,63.47,6.35,82.27,blackgram
45,39,26,26.39,49.48,7.91,73.39,blackgram
25,43,23,26.91,54.08,7.95,57.57,blackgram
23,37,44,23.95,55.05,7.04,59.56,blackgram
43,41,20,29.95,54.7,7.43,63.89,blackgram
58,48,40,21.42,47.98,7.55,35.49,blackgram
40,37,44,24.39,65.74,7.02,44.76,blackgram
24,26,33,32.04,68.99,6.09,54.16,blackgram
38,35,37,28.78,46.89,7.78,32.29,blackgram
58,30,21,27.89,56.37,6.27,94.1,blackgram
31,21,37,33.0,68.66,6.45,68.79,blackgram
53,31,42,33.57,51.47,7.03,48.58,blackgram
32,27,47,33.64,46.24,7.8,94.56,blackgram
39,41,35,27.55,55.45,6.23,84.11,blackgram
27,44,31,21.17,50.36,7.34,39.3,blackgram
56,36,31,33.03,69.03,7.09,93.45,blackgram
50,20,41,29.15,57.23,7.02,52.22,blackgram
38,49,42,20.09,51.47,7.46,48.57,blackgram
51,27,34,34.22,57.99,6.29,34.89,blackgram
23,39,22,31.88,55.16,6.8,37.57,blackgram
46,44,30,28.85,63.84,7.17,53.11,blackgram
20,26,48,26.64,41.84,7.43,98.05,blackgram
54,47,22,31.8,65.77,7.81,82.27,blackgram
51,29,44,27.25,64.86,7.89,74.99,blackgram
50,24,30,27.92,44.04,7.34,36.16,blackgram
60,34,45,22.52,68.68,6.29,74.46,blackgram
58,33,24,25.86,67.38,6.95,35.26,blackgram
55,42,24,34.4,63.6,7.03,62.54,blackgram
34,47,47,29.7,50.89,7.7,60.62,blackgram
51,37,20,21.41,51.78,7.26,84.23,blackgram
26,30,34,34.79,61.98,6.51,37.92,blackgram
33,21,31,28.73,48.22,7.28,81.48,blackgram
45,24,27,31.36,64.06,7.02,48.69,blackgram
33,20,38,27.5,44.72,6.73,72.39,blackgram
60,40,23,24.5,62.61,6.3,61.39,blackgram
34,34,21,23.83,41.16,7.02,82.98,blackgram
54,45,23,32.98,49.83,6.02,87.25,blackgram
52,30,31,20.45,69.51,6.7,34.73,blackgram
56,25,28,29.65,65.16,6.63,61.92,blackgram
49,32,20,21.2,51.76,6.84,86.11,blackgram
57,20,48,23.41,61.44,6.2,76.28,blackgram
51,47,46,25.73,58.18,7.66,60.21,blackgram
46,37,24,20.81,63.81,6.63,68.84,blackgram
42,46,27,26.76,41.59,7.61,95.87,blackgram
32,25,32,23.0,54.83,7.13,63.96,blackgram
37,33,27,34.68,54.4,7.35,36.0,blackgram
21,20,40,20.73,42.75,7.51,66.05,blackgram
22,32,43,34.74,67.41,6.08,34.91,blackgram
45,48,43,32.23,51.42,6.76,96.25,blackgram
48,23,27,24.6,51.76,6.45,44.11,blackgram
47,32,21,20.4,49.48,7.29,65.1,blackgram
45,37,46,22.05,51.97,6.7,66.15,blackgram
39,50,35,25.11,67.94,6.37,86.65,blackgram
25,33,34,26.77,66.49,7.07,82.94,blackgram
37,31,27,24.06,53.13,7.97,34.99,blackgram
33,44,38,21.95,40.12,7.82,64.23,blackgram
27,46,28,21.67,69.55,7.96,41.49,blackgram
34,26,21,32.17,65.49,6.02,41.44,blackgram
49,40,44,21.93,41.59,7.86,76.2,blackgram
51,43,43,27.83,42.99,6.82,72.64,blackgram
60,42,34,23.92,53.2,6.95,48.28,blackgram
30,47,50,29.72,58.51,6.8,81.76,blackgram
32,48,34,29.51,47.43,6.19,33.24,blackgram
31,49,37,31.56,47.12,7.98,63.42,blackgram
60,27,47,34.65,52.04,7.83,55.93,blackgram
33,31,35,31.96,54.88,6.04,85.86,blackgram
59,23,29,31.61,66.01,6.71,99.05,blackgram
21,43,30,20.86,50.38,7.11,46.43,blackgram
35,43,44,21.76,40.06,6.29,88.61,blackgram
36,43,43,28.85,54.52,6.71,70.28,blackgram
34,24,20,31.74,63.04,6.99,71.21,blackgram
27,24,45,27.71,57.76,6.03,94.99,blackgram
44,20,49,32.59,48.24,7.64,57.25,blackgram
50,34,34,23.85,46.55,6.83,44.52,blackgram
33,29,33,32.89,54.66,7.6,34.24,blackgram
86,44,56,33.45,78.45,6.79,155.22,bottle gourd
57,31,55,27.78,56.4,6.31,102.39,bottle gourd
73,36,40,26.46,76.65,5.81,182.25,bottle gourd
98,53,33,29.49,71.45,7.28,90.26,bottle gourd
74,50,36,30.32,64.4,6.49,153.85,bottle gourd
66,39,60,31.41,74.19,7.46,130.51,bottle gourd
84,48,50,31.08,79.57,6.63,82.07,bottle gourd
71,30,43,32.61,65.02,7.33,57.93,bottle gourd
89,36,42,33.01,54.59,6.77,193.68,bottle gourd
76,31,38,30.49,79.57,6.19,146.33,bottle gourd
98,48,47,29.16,63.53,5.74,75.0,bottle gourd
95,56,51,33.3,76.44,6.21,138.98,bottle gourd
98,58,46,23.31,75.03,6.58,191.98,bottle gourd
77,59,33,26.06,60.09,5.78,163.63,bottle gourd
44,36,55,28.87,67.46,7.43,199.16,bottle gourd
46,50,54,26.95,65.27,6.91,193.25,bottle gourd
78,33,58,20.6,78.69,6.55,120.59,bottle gourd
89,44,33,32.59,62.73,6.25,157.08,bottle gourd
90,31,36,31.08,56.38,5.87,118.53,bottle gourd
55,60,47,25.23,65.71,6.92,171.78,bottle gourd
76,52,50,31.29,54.9,6.75,185.37,bottle gourd
79,60,35,28.88,60.44,6.78,50.14,bottle gourd
96,53,43,21.63,63.02,7.09,176.54,bottle gourd
83,33,47,24.48,66.62,6.08,167.8,bottle gourd
98,32,55,31.29,52.52,6.94,176.69,bottle gourd
52,60,59,26.37,64.71,6.46,55.14,bottle gourd
42,57,57,29.02,79.01,7.4,141.36,bottle gourd
60,36,34,20.3,53.34,6.53,59.75,bottle gourd
47,40,31,21.64,74.73,6.28,78.13,bottle gourd
94,33,31,26.54,76.3,6.09,146.13,bottle gourd
98,35,50,34.07,51.2,6.67,109.55,bottle gourd
93,54,40,21.02,65.13,6.87,151.07,bottle gourd
67,60,44,28.55,55.91,6.71,99.84,bottle gourd
65,57,54,20.1,70.46,6.32,84.8,bottle gourd
96,58,46,34.27,62.02,6.72,62.36,bottle gourd
58,30,36,22.35,64.49,5.79,158.28,bottle gourd
51,33,50,33.16,73.29,6.59,145.86,bottle gourd
94,44,30,27.64,53.22,5.79,115.28,bottle gourd
51,57,35,28.72,60.06,6.36,52.27,bottle gourd
75,32,58,21.94,54.02,6.46,124.43,bottle gourd
52,46,41,22.37,72.46,6.08,95.58,bottle gourd
61,54,37,32.23,55.13,6.33,167.19,bottle gourd
84,54,30,27.83,74.35,5.78,141.22,bottle gourd
77,59,39,20.33,50.11,5.78,149.47,bottle gourd
89,38,40,27.22,53.27,5.88,173.67,bottle gourd
88,32,39,30.4,74.05,6.75,118.65,bottle gourd
99,38,38,31.71,79.71,7.1,96.31,bottle gourd
81,48,32,32.71,59.77,7.23,55.56,bottle gourd
76,45,59,27.39,75.98,7.21,60.32,bottle gourd
40,36,49,32.04,56.63,6.82,190.37,bottle gourd
83,41,53,22.13,55.97,7.17,145.81,bottle gourd
72,58,47,32.8,51.31,6.25,169.61,bottle gourd
79,31,60,26.96,66.74,5.51,199.19,bottle gourd
51,59,57,29.76,59.16,6.11,61.09,bottle gourd
94,36,46,20.03,57.55,6.96,85.72,bottle gourd
95,41,33,26.95,57.82,7.22,187.65,bottle gourd
43,33,45,28.45,58.74,6.33,119.69,bottle gourd
75,36,55,27.78,63.31,5.96,193.18,bottle gourd
62,31,57,22.87,78.21,7.07,142.36,bottle gourd
84,43,37,26.34,74.89,6.15,72.12,bottle gourd
73,38,41,21.71,64.56,6.24,178.72,bottle gourd
82,35,57,20.88,65.55,5.83,81.59,bottle gourd
55,47,42,32.65,59.03,7.05,140.33,bottle gourd
40,36,41,29.82,77.12,5.78,104.4,bottle gourd
47,57,30,20.74,64.03,6.38,71.06,bottle gourd
81,51,32,28.22,67.25,6.45,122.77,bottle gourd
57,45,30,30.47,75.75,7.01,189.72,bottle gourd
63,32,31,25.06,74.28,6.9,51.49,bottle gourd
64,49,54,22.32,63.75,7.33,83.08,bottle gourd
71,57,46,21.29,74.98,6.01,123.93,bottle gourd
45,57,54,33.57,77.34,6.87,99.37,bottle gourd
88,32,37,32.38,63.25,6.56,163.98,bottle gourd
40,40,32,22.51,56.39,6.34,111.35,bottle gourd
62,42,41,24.55,71.38,5.58,197.88,bottle gourd
49,43,50,20.43,63.77,7.36,173.36,bottle gourd
86,33,32,20.53,72.52,6.6,130.01,bottle gourd
69,44,58,26.81,60.0,5.75,103.44,bottle gourd
81,30,59,20.59,78.67,6.1,54.62,bottle gourd
56,55,58,24.78,71.02,5.94,163.99,bottle gourd
76,34,47,26.88,73.23,6.49,63.91,bottle gourd
94,49,53,32.61,77.09,6.02,156.26,bottle gourd
72,53,59,28.2,51.88,6.6,169.71,bottle gourd
83,33,50,28.11,65.22,6.27,84.25,bottle gourd
63,54,30,29.83,63.76,6.02,98.01,bottle gourd
84,49,51,31.53,59.44,6.03,82.72,bottle gourd
61,46,42,34.72,56.02,6.45,58.13,bottle gourd
85,48,33,25.08,72.28,6.8,149.87,bottle gourd
57,51,57,27.26,62.69,6.29,189.25,bottle gourd
72,59,32,23.59,74.52,5.82,179.42,bottle gourd
73,33,52,34.79,58.78,5.91,94.26,bottle gourd
60,42,45,32.94,50.63,7.14,107.66,bottle gourd
59,47,55,30.42,73.2,7.43,130.41,bottle gourd
78,51,31,31.84,56.46,6.48,152.9,bottle gourd
49,56,37,24.3,68.3,5.76,166.03,bottle gourd
43,31,34,25.49,60.41,6.53,143.44,bottle gourd
97,42,53,22.48,75.9,7.39,114.68,bottle gourd
92,57,30,25.09,58.64,5.78,151.0,bottle gourd
59,43,34,28.19,67.97,6.85,73.48,bottle gourd
59,55,51,23.96,76.02,6.73,183.62,bottle gourd
58,37,53,28.92,73.36,6.08,186.58,bottle gourd
66,49,30,27.27,56.08,7.4,74.62,bottle gourd
95,57,51,29.39,73.96,6.8,52.59,bottle gourd
81,37,59,29.86,75.2,5.74,108.02,bottle gourd
76,50,31,34.86,59.28,6.19,73.85,bottle gourd
91,55,51,34.88,75.5,7.26,183.4,bottle gourd
45,59,38,30.8,74.78,5.65,66.2,bottle gourd
50,36,40,20.0,70.14,7.5,143.66,bottle gourd
91,49,37,34.2,59.35,5.54,173.65,bottle gourd
91,31,60,28.17,65.87,7.35,194.17,bottle gourd
75,53,52,34.49,62.16,7.25,52.38,bottle gourd
44,42,57,30.45,50.7,5.63,174.6,bottle gourd
97,60,35,25.52,50.28,6.37,188.36,bottle gourd
74,58,35,25.85,59.9,6.6,53.29,bottle gourd
78,32,32,23.11,62.86,6.66,54.23,bottle gourd
84,37,32,26.51,74.14,6.29,88.49,bottle gourd
54,34,58,32.39,70.56,6.39,141.06,bottle gourd
99,58,56,34.52,74.19,5.86,190.88,bottle gourd
93,35,43,24.49,61.23,6.47,54.76,bottle gourd
76,33,45,26.75,53.58,5.79,94.31,bottle gourd
56,47,45,26.4,74.79,7.01,194.73,bottle gourd
131,66,58,29.05,71.95,6.18,126.7,brinjal
81,60,58,21.24,73.43,5.51,51.46,brinjal
87,42,47,33.32,71.64,6.9,63.48,brinjal
123,79,78,23.17,71.7,5.54,169.19,brinjal
122,72,45,26.76,81.2,7.33,89.0,brinjal
104,53,77,23.64,83.94,6.98,69.15,brinjal
137,51,41,34.46,83.75,5.98,156.18,brinjal
100,48,43,29.35,63.75,5.68,86.33,brinjal
95,78,54,33.91,77.64,6.28,52.74,brinjal
117,65,51,18.3,84.22,6.64,190.12,brinjal
84,75,77,32.57,85.61,5.95,61.69,brinjal
105,66,64,34.36,61.94,5.64,110.26,brinjal
105,62,58,21.14,61.48,6.06,118.87,brinjal
112,51,65,33.61,68.55,6.2,84.74,brinjal
129,40,66,19.57,74.44,7.25,184.01,brinjal
93,75,76,18.99,63.71,6.23,160.21,brinjal
137,49,66,20.06,74.77,6.46,114.08,brinjal
150,51,47,34.51,77.69,6.77,172.81,brinjal
103,48,78,31.01,66.0,6.87,134.5,brinjal
130,51,69,23.52,84.41,6.15,140.29,brinjal
141,66,49,29.12,87.98,6.85,193.04,brinjal
148,42,50,18.01,84.1,5.98,197.31,brinjal
85,71,50,32.78,80.33,6.84,87.45,brinjal
141,79,64,23.9,75.41,6.57,108.01,brinjal
122,58,52,26.06,62.94,6.85,178.13,brinjal
131,73,44,18.43,88.44,7.23,105.93,brinjal
118,76,66,26.33,85.8,6.85,130.95,brinjal
140,77,58,24.84,65.41,7.48,164.82,brinjal
102,71,80,22.09,68.24,5.99,90.18,brinjal
89,40,80,34.28,68.74,7.26,126.49,brinjal
115,76,60,34.01,88.79,6.78,122.82,brinjal
108,46,62,34.21,63.41,7.4,156.17,brinjal
110,75,46,31.85,61.01,5.77,63.16,brinjal
94,48,70,29.53,61.9,6.01,150.94,brinjal
106,46,76,34.77,62.93,6.99,180.35,brinjal
106,44,74,23.24,69.87,6.42,137.09,brinjal
90,66,78,31.1,87.56,6.17,102.0,brinjal
83,78,54,30.4,71.58,6.13,59.75,brinjal
142,40,54,31.11,64.28,6.59,150.18,brinjal
142,60,63,34.94,75.57,6.04,182.03,brinjal
90,54,72,22.79,89.61,5.99,165.18,brinjal
141,42,57,34.77,64.5,7.15,123.69,brinjal
102,61,51,20.12,72.37,5.98,136.05,brinjal
92,80,55,29.21,74.53,6.31,165.69,brinjal
81,67,67,32.82,79.6,6.71,174.44,brinjal
99,77,73,30.72,63.22,6.54,144.86,brinjal
110,65,77,31.59,89.45,5.59,60.59,brinjal
149,65,68,34.37,71.67,6.35,159.51,brinjal
141,63,78,26.67,85.81,6.6,188.81,brinjal
124,58,76,28.26,77.1,7.43,130.49,brinjal
140,49,45,29.74,66.33,5.94,104.81,brinjal
118,60,49,34.06,62.48,6.84,54.2,brinjal
87,69,40,30.11,71.68,6.54,74.65,brinjal
88,47,46,33.53,73.72,7.4,69.36,brinjal
95,75,61,32.25,64.85,6.93,137.49,brinjal
88,54,67,27.72,76.11,5.58,148.78,brinjal
101,72,53,31.9,75.62,5.74,110.82,brinjal
138,53,45,18.57,75.43,6.45,120.94,brinjal
82,70,76,33.52,63.05,6.39,161.02,brinjal
129,63,43,22.4,68.64,6.91,159.27,brinjal
104,61,51,34.57,65.48,6.33,105.3,brinjal
110,56,49,34.65,66.96,6.05,80.1,brinjal
86,74,71,22.02,87.53,5.7,150.28,brinjal
117,42,47,31.56,79.62,7.21,66.98,brinjal
132,56,63,22.66,74.34,7.26,84.66,brinjal
81,54,53,26.97,60.73,6.41,186.85,brinjal
125,62,65,20.7,62.37,6.19,199.77,brinjal
99,59,73,22.3,66.75,7.43,72.43,brinjal
131,53,40,22.22,69.41,6.92,100.86,brinjal
147,74,79,30.5,60.88,5.53,123.32,brinjal
94,52,43,30.47,81.98,6.51,155.1,brinjal
138,40,70,21.31,89.64,6.16,61.98,brinjal
146,75,47,31.79,84.88,7.27,64.74,brinjal
130,43,54,21.97,89.53,6.85,108.36,brinjal
80,62,47,30.23,83.77,6.04,129.82,brinjal
103,80,48,20.17,79.45,6.84,192.99,brinjal
107,74,58,32.77,87.34,7.47,121.45,brinjal
112,73,79,32.11,72.41,5.56,66.51,brinjal
86,45,55,25.89,82.76,5.67,101.29,brinjal
90,72,71,19.09,88.72,6.66,145.47,brinjal
114,42,45,19.03,75.67,6.71,153.66,brinjal
92,48,52,24.92,86.57,6.77,151.37,brinjal
100,65,47,30.15,73.09,7.24,137.04,brinjal
115,67,55,32.23,65.78,6.35,198.53,brinjal
129,72,61,34.31,73.47,5.64,90.0,brinjal
97,72,76,29.5,79.72,6.46,120.88,brinjal
88,80,67,21.79,73.52,5.75,136.71,brinjal
124,61,68,34.65,89.39,5.78,97.36,brinjal
97,63,48,30.19,63.99,6.91,149.44,brinjal
111,73,57,25.31,75.59,6.0,117.88,brinjal
89,78,77,23.15,68.64,7.36,93.14,brinjal
86,67,55,32.28,78.66,7.02,52.57,brinjal
129,42,61,27.8,77.28,6.23,155.32,brinjal
94,43,74,29.99,82.03,5.83,93.49,brinjal
130,43,62,24.65,69.5,7.04,188.36,brinjal
99,59,56,30.48,79.54,7.37,156.85,brinjal
138,78,73,27.42,68.01,7.31,53.63,brinjal
108,57,62,23.74,85.12,6.8,54.88,brinjal
126,69,61,30.92,82.6,5.59,94.92,brinjal
132,68,51,24.22,62.42,6.99,159.33,brinjal
87,79,74,21.6,86.09,6.23,162.56,brinjal
107,50,41,28.29,69.62,6.81,120.81,brinjal
122,57,47,21.76,67.57,6.66,82.91,brinjal
84,77,73,20.48,72.53,6.99,151.22,brinjal
87,53,67,21.97,65.64,6.86,153.24,brinjal
131,68,58,30.09,65.21,6.1,196.49,brinjal
105,46,42,28.06,68.22,6.53,130.7,brinjal
107,78,76,21.43,80.74,6.42,128.52,brinjal
126,60,49,31.68,79.38,6.7,98.94,brinjal
124,65,75,33.47,65.77,7.35,164.76,brinjal
122,62,77,30.11,89.83,6.3,112.95,brinjal
117,52,63,21.32,75.35,6.49,189.42,brinjal
114,74,77,28.99,85.31,5.75,95.97,brinjal
121,46,59,25.53,76.53,7.46,173.17,brinjal
129,48,73,23.12,87.13,7.24,126.97,brinjal
83,61,40,22.14,66.13,6.92,158.41,brinjal
131,46,40,21.79,70.37,7.16,60.32,brinjal
124,53,48,18.18,75.86,6.79,120.05,brinjal
99,69,41,27.43,61.77,6.65,171.87,brinjal
112,58,70,24.73,71.38,7.06,106.23,brinjal
103,69,79,23.77,84.26,6.56,104.89,cabbage
136,51,47,21.49,63.44,7.43,116.99,cabbage
94,41,80,29.39,85.62,5.77,197.58,cabbage
110,60,55,34.71,81.72,5.66,148.65,cabbage
86,66,56,20.34,86.03,6.64,184.06,cabbage
98,54,45,18.78,83.23,6.3,134.79,cabbage
117,63,71,24.37,64.12,5.81,123.97,cabbage
143,79,45,20.43,65.03,6.64,66.26,cabbage
143,50,62,29.69,71.56,5.9,191.07,cabbage
109,79,44,21.94,76.86,7.15,113.55,cabbage
116,56,54,34.73,61.73,7.09,68.62,cabbage
150,67,68,30.79,86.01,6.56,61.55,cabbage
100,68,43,29.6,73.44,6.09,148.63,cabbage
115,80,66,22.09,63.26,6.58,50.39,cabbage
109,50,42,25.25,80.23,6.18,114.56,cabbage
138,79,63,30.63,62.13,7.4,57.81,cabbage
93,50,77,26.22,82.6,6.0,136.69,cabbage
106,62,73,21.9,76.52,7.2,150.25,cabbage
102,55,55,21.4,88.85,7.19,79.06,cabbage
97,69,80,26.1,83.34,5.55,165.93,cabbage
87,44,72,22.56,64.62,5.51,101.9,cabbage
106,59,44,29.6,77.64,6.89,154.13,cabbage
142,73,65,18.42,80.29,7.29,115.54,cabbage
119,47,40,33.67,62.08,5.85,138.99,cabbage
96,75,72,20.57,89.92,6.55,178.61,cabbage
106,56,67,18.83,62.47,6.97,141.04,cabbage
102,66,56,27.47,83.16,7.46,132.87,cabbage
101,42,69,18.61,72.32,7.19,95.61,cabbage
89,63,68,20.61,71.05,5.69,151.92,cabbage
131,63,44,23.4,89.93,5.67,50.4,cabbage
140,75,55,30.47,81.1,6.43,128.93,cabbage
95,54,73,25.57,62.28,6.15,172.43,cabbage
105,46,72,22.19,78.99,6.23,163.92,cabbage
128,63,77,25.31,74.88,6.71,100.29,cabbage
124,42,62,20.13,86.48,6.14,56.1,cabbage
116,59,56,18.36,60.99,6.34,51.8,cabbage
92,66,68,24.8,78.42,5.68,96.53,cabbage
106,58,53,22.91,77.04,6.49,101.55,cabbage
149,80,77,25.26,60.99,5.65,67.36,cabbage
99,44,63,29.45,74.72,7.27,144.64,cabbage
90,61,47,34.66,88.96,5.58,115.17,cabbage
109,70,67,30.64,82.05,6.11,146.49,cabbage
115,54,44,23.89,88.48,6.9,111.25,cabbage
112,76,75,23.79,82.82,5.92,156.58,cabbage
107,42,65,22.11,66.66,7.03,73.0,cabbage
137,44,48,24.96,66.92,6.64,104.0,cabbage
84,70,59,25.72,79.62,6.4,110.89,cabbage
145,77,40,20.02,81.85,5.9,125.43,cabbage
81,67,65,25.18,80.71,6.26,75.34,cabbage
137,56,77,30.99,89.33,5.76,85.83,cabbage
125,79,47,20.12,69.87,6.5,152.87,cabbage
89,60,49,21.24,64.4,6.36,158.9,cabbage
88,64,48,22.26,63.19,5.51,183.95,cabbage
84,40,53,26.86,78.7,6.97,199.26,cabbage
125,61,65,31.14,82.96,6.58,72.82,cabbage
146,67,58,28.27,64.29,7.28,179.96,cabbage
147,42,66,31.53,80.31,7.45,180.63,cabbage
98,46,69,18.15,63.75,5.53,108.46,cabbage
92,55,75,30.93,77.35,5.84,103.48,cabbage
89,71,61,34.32,85.23,6.4,103.88,cabbage
124,66,43,20.19,61.76,5.61,146.68,cabbage
131,77,54,34.32,76.49,7.14,96.73,cabbage
132,70,48,20.03,87.79,5.52,124.6,cabbage
123,76,76,18.6,64.2,5.72,98.68,cabbage
140,70,48,29.26,68.76,6.18,112.07,cabbage
147,58,54,21.28,68.82,5.53,147.9,cabbage
116,56,68,28.41,68.13,7.2,180.02,cabbage
92,64,73,21.35,68.7,5.93,186.7,cabbage
132,70,41,34.51,82.87,6.99,174.5,cabbage
136,51,43,18.76,83.31,6.17,51.79,cabbage
129,45,54,31.33,89.81,6.46,85.98,cabbage
106,46,78,25.99,71.92,5.88,75.97,cabbage
139,53,41,28.2,60.05,5.77,165.69,cabbage
114,54,67,26.75,81.98,5.55,187.28,cabbage
116,66,43,28.77,65.77,5.66,104.23,cabbage
122,71,66,23.34,82.31,6.59,124.88,cabbage
149,52,57,18.86,85.96,7.41,92.57,cabbage
86,45,68,21.77,70.08,5.86,140.26,cabbage
126,73,77,21.39,76.1,6.9,190.69,cabbage
104,46,74,33.25,72.37,6.73,99.46,cabbage
114,60,76,34.31,78.02,6.17,57.7,cabbage
104,43,59,24.62,65.34,6.54,90.06,cabbage
128,41,49,22.61,63.82,6.37,140.77,cabbage
116,66,73,31.83,60.52,6.72,74.54,cabbage
128,41,71,33.44,89.12,6.19,150.58,cabbage
150,56,61,33.21,67.7,7.01,55.23,cabbage
94,70,47,30.49,76.14,6.25,160.56,cabbage
132,42,65,24.44,73.23,6.31,101.93,cabbage
99,58,77,18.31,67.51,6.08,162.94,cabbage
129,54,74,27.75,77.05,6.18,75.01,cabbage
118,65,73,20.31,76.36,7.27,193.04,cabbage
135,53,76,19.97,76.7,5.77,153.53,cabbage
86,48,40,34.55,63.73,5.91,180.29,cabbage
141,69,49,18.24,79.57,7.39,138.25,cabbage
149,56,64,20.63,80.63,6.83,169.79,cabbage
143,40,75,29.75,71.18,6.72,155.69,cabbage
119,66,73,20.56,79.29,5.52,119.62,cabbage
95,78,57,21.37,61.97,5.78,140.91,cabbage
81,57,47,20.53,61.43,5.51,55.81,cabbage
133,74,66,19.68,84.2,6.65,60.69,cabbage
98,68,70,23.56,78.15,7.07,101.58,cabbage
147,73,57,26.51,75.23,5.91,146.03,cabbage
146,69,73,19.8,87.62,6.91,66.12,cabbage
139,77,53,34.31,61.23,6.99,77.23,cabbage
142,48,52,26.33,61.71,6.0,191.43,cabbage
90,54,58,22.33,69.51,6.83,50.91,cabbage
115,62,58,21.43,77.74,6.02,107.38,cabbage
143,78,66,25.98,72.54,7.29,84.75,cabbage
142,43,61,31.85,81.09,6.51,109.55,cabbage
90,72,64,34.5,63.58,5.62,194.42,cabbage
81,73,79,29.47,86.95,7.34,100.2,cabbage
83,62,63,32.9,68.4,5.85,85.76,cabbage
104,67,64,30.6,89.37,5.72,75.62,cabbage
88,76,65,26.61,66.69,7.24,76.27,cabbage
120,55,41,20.38,64.77,6.85,51.97,cabbage
100,51,78,18.04,62.88,6.73,133.09,cabbage
106,60,45,29.31,67.55,7.47,147.38,cabbage
127,54,72,32.89,70.55,7.48,93.95,cabbage
91,43,61,31.03,73.96,5.88,138.22,cabbage
131,76,78,30.04,74.57,6.08,56.33,cabbage
78,50,58,33.04,72.76,5.86,161.03,cardamom
81,38,32,27.63,65.29,6.72,127.16,cardamom
76,34,38,24.87,62.76,6.18,96.02,cardamom
72,39,33,28.61,79.4,6.76,157.38,cardamom
62,59,55,26.22,73.92,6.93,143.96,cardamom
95,43,51,32.55,73.73,6.4,136.25,cardamom
82,49,50,27.37,81.09,6.92,189.38,cardamom
75,54,42,27.05,72.28,5.85,193.43,cardamom
99,40,30,32.0,71.79,6.07,123.1,cardamom
98,39,50,23.91,71.67,5.89,113.92,cardamom
62,33,56,22.71,76.93,5.79,89.08,cardamom
99,31,50,26.95,84.91,5.58,124.86,cardamom
83,45,53,23.54,69.4,6.49,122.78,cardamom
92,36,49,32.44,82.54,6.93,124.93,cardamom
100,32,30,24.1,79.2,6.19,105.01,cardamom
73,44,45,24.49,87.96,5.9,119.83,cardamom
